C00,Malignant neoplasm of lip,Males,0,0,0,0,1,0,2,1,3,3,8,4,16,9,10,19,17,17,7,6
C00,Malignant neoplasm of lip,Females,0,1,0,0,0,0,1,1,0,2,3,3,4,4,11,8,9,10,8,4
,,,,,,,,,,,,,,,,,,,,,,
C01,Malignant neoplasm of base of tongue,Males,0,0,0,0,0,1,0,1,2,18,52,130,146,149,142,82,57,23,8,1
C01,Malignant neoplasm of base of tongue,Females,0,0,0,0,0,1,0,3,9,4,21,27,41,34,48,30,11,11,7,3
,,,,,,,,,,,,,,,,,,,,,,
C02,Malignant neoplasm of other and unspecified parts of tongue,Males,0,0,0,0,0,1,2,9,15,20,48,75,95,102,105,97,63,38,21,10
C02,Malignant neoplasm of other and unspecified parts of tongue,Females,0,0,0,0,1,2,7,6,9,19,34,51,45,68,82,63,57,40,45,19
,,,,,,,,,,,,,,,,,,,,,,
C03,Malignant neoplasm of gum,Males,0,0,0,0,0,0,0,0,2,5,9,11,19,29,36,26,29,31,10,9
C03,Malignant neoplasm of gum,Females,0,0,0,0,0,0,0,0,2,3,8,4,17,13,21,30,22,25,20,13
,,,,,,,,,,,,,,,,,,,,,,
C04,Malignant neoplasm of floor of mouth,Males,0,0,0,0,0,0,1,0,0,9,26,50,33,58,54,39,21,11,7,1
C04,Malignant neoplasm of floor of mouth,Females,0,0,0,0,0,0,0,3,2,2,5,14,34,24,25,17,15,9,8,9
,,,,,,,,,,,,,,,,,,,,,,
C05,Malignant neoplasm of palate,Males,0,0,0,0,1,2,0,0,6,3,10,28,43,43,31,29,18,12,7,5
C05,Malignant neoplasm of palate,Females,0,0,1,1,0,0,1,2,8,4,6,12,18,25,22,27,21,12,11,9
,,,,,,,,,,,,,,,,,,,,,,
C06,Malignant neoplasm of other and unspecified parts of mouth,Males,0,0,0,0,0,0,0,3,5,7,15,19,38,37,52,49,33,24,12,7
C06,Malignant neoplasm of other and unspecified parts of mouth,Females,0,0,1,0,0,0,2,0,2,2,6,10,34,29,29,22,34,18,19,10
,,,,,,,,,,,,,,,,,,,,,,
C07,Malignant neoplasm of parotid gland,Males,0,0,0,0,2,4,3,2,4,6,11,22,21,16,31,35,31,27,17,6
C07,Malignant neoplasm of parotid gland,Females,0,0,0,2,2,7,6,5,8,12,13,15,18,21,20,17,24,11,11,11
,,,,,,,,,,,,,,,,,,,,,,
C08,Malignant neoplasm of other and unspecified major salivary glands,Males,0,0,0,0,0,0,0,1,0,5,6,9,8,6,13,8,9,11,4,2
C08,Malignant neoplasm of other and unspecified major salivary glands,Females,0,0,0,1,1,2,3,3,2,3,1,5,6,10,8,6,5,3,3,3
,,,,,,,,,,,,,,,,,,,,,,
C09,Malignant neoplasm of tonsil,Males,0,0,0,0,0,0,1,3,11,43,118,210,261,190,166,104,58,24,17,3
C09,Malignant neoplasm of tonsil,Females,0,0,0,0,0,0,1,3,6,14,45,59,53,74,60,34,20,9,4,3
,,,,,,,,,,,,,,,,,,,,,,
C10,Malignant neoplasm of oropharynx,Males,0,0,0,0,0,0,0,1,2,4,11,17,26,38,32,23,14,13,7,3
C10,Malignant neoplasm of oropharynx,Females,0,0,0,0,0,0,0,1,1,0,1,4,9,8,12,13,7,5,0,1
,,,,,,,,,,,,,,,,,,,,,,
C11,Malignant neoplasm of nasopharynx,Males,0,0,0,0,4,1,1,6,7,12,16,17,17,18,24,10,12,5,6,1
C11,Malignant neoplasm of nasopharynx,Females,0,0,0,1,2,1,2,1,3,8,9,5,6,9,8,4,6,3,4,1
,,,,,,,,,,,,,,,,,,,,,,
C12,Malignant neoplasm of pyriform sinus,Males,0,0,0,0,0,0,0,0,1,3,4,17,43,40,52,40,19,14,8,3
C12,Malignant neoplasm of pyriform sinus,Females,0,0,0,0,0,0,0,0,2,1,0,7,8,10,12,8,6,4,5,1
,,,,,,,,,,,,,,,,,,,,,,
C13,Malignant neoplasm of hypopharynx,Males,0,0,0,0,0,0,0,0,0,5,11,9,19,29,41,30,16,13,1,5
C13,Malignant neoplasm of hypopharynx,Females,0,0,0,0,0,0,0,1,0,3,3,6,11,10,12,14,10,6,4,3
,,,,,,,,,,,,,,,,,,,,,,
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Males,0,0,0,0,0,0,0,0,0,1,0,1,5,5,3,1,2,3,0,1
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Females,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,2,1,0
,,,,,,,,,,,,,,,,,,,,,,
C15,Malignant neoplasm of oesophagus,Males,0,0,0,0,0,0,4,5,22,35,142,256,441,614,887,909,832,542,357,191
