C00,Malignant neoplasm of lip,M,,0,,0,,0,,0,,1,,0,,2,,3,,2,,6,,11,,6,,13,,13,,18,,22,,25,,17,,12,,2
,,F,,0,,0,,0,,0,,0,,0,,1,,0,,0,,1,,3,,3,,2,,5,,8,,5,,14,,7,,8,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01,Malignant neoplasm of base of tongue,M,,0,,0,,0,,0,,0,,0,,0,,3,,4,,11,,36,,101,,112,,125,,79,,62,,38,,13,,9,,2
,,F,,0,,0,,0,,0,,0,,0,,0,,0,,2,,11,,13,,17,,24,,26,,27,,17,,8,,6,,11,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02,Malignant neoplasm of other and unspecified parts of tongue,M,,0,,0,,0,,0,,1,,2,,4,,13,,18,,29,,55,,82,,115,,117,,128,,86,,52,,40,,21,,10
,,F,,1,,0,,0,,0,,1,,3,,6,,12,,6,,19,,27,,50,,63,,65,,64,,54,,60,,42,,33,,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C03,Malignant neoplasm of gum,M,,0,,0,,0,,0,,1,,1,,0,,0,,3,,3,,8,,19,,28,,24,,31,,22,,20,,18,,9,,8
,,F,,0,,0,,1,,0,,0,,0,,0,,0,,0,,1,,3,,6,,10,,16,,25,,27,,24,,22,,23,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C04,Malignant neoplasm of floor of mouth,M,,0,,0,,0,,0,,0,,0,,0,,1,,1,,11,,23,,41,,61,,59,,53,,24,,15,,12,,5,,4
,,F,,0,,0,,0,,0,,0,,0,,0,,1,,3,,4,,6,,15,,21,,21,,26,,12,,10,,9,,8,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C05,Malignant neoplasm of palate,M,,0,,0,,0,,0,,1,,0,,2,,2,,4,,7,,15,,21,,35,,34,,52,,24,,18,,9,,7,,1
,,F,,0,,0,,0,,1,,0,,0,,2,,2,,5,,4,,10,,9,,20,,27,,24,,20,,15,,18,,7,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C06,Malignant neoplasm of other and unspecified parts of mouth,M,,0,,0,,0,,0,,1,,0,,1,,3,,2,,8,,18,,14,,42,,43,,41,,22,,30,,20,,17,,9
,,F,,0,,0,,0,,0,,0,,0,,0,,4,,4,,7,,12,,11,,21,,25,,27,,35,,32,,39,,20,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C07,Malignant neoplasm of parotid gland,M,,0,,1,,0,,0,,3,,6,,6,,5,,7,,16,,15,,24,,20,,19,,29,,26,,39,,23,,21,,11
,,F,,0,,0,,1,,3,,6,,1,,12,,4,,6,,9,,9,,13,,12,,27,,19,,26,,17,,15,,14,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C08,Malignant neoplasm of other and unspecified major salivary glands,M,,0,,0,,0,,0,,0,,1,,2,,0,,5,,2,,5,,8,,1,,12,,12,,10,,10,,4,,5,,0
,,F,,0,,0,,0,,1,,0,,1,,3,,2,,0,,6,,3,,4,,6,,6,,6,,3,,4,,1,,3,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C09,Malignant neoplasm of tonsil,M,,0,,0,,0,,0,,0,,0,,1,,3,,8,,36,,119,,185,,186,,157,,130,,71,,31,,17,,2,,3
